start	end	avg.score
0.0	100000.0	0.281450170042
50000.0	150000.0	0.331209774346
100000.0	200000.0	0.332138849616
150000.0	250000.0	0.601322831535
400000.0	500000.0	0.897395250463
450000.0	550000.0	0.817904097113
550000.0	650000.0	0.872198417717
1050000.0	1150000.0	0.860535807724
1100000.0	1200000.0	0.865085772769
1150000.0	1250000.0	0.889080444009
1200000.0	1300000.0	0.838419848238
1250000.0	1350000.0	0.693974656163
1300000.0	1400000.0	0.844412778457
1350000.0	1450000.0	0.76081629281
1400000.0	1500000.0	0.885024693901
1550000.0	1650000.0	0.817883921893
1600000.0	1700000.0	0.872026333309
1650000.0	1750000.0	0.79904300818
1700000.0	1800000.0	0.868463868232
1950000.0	2050000.0	0.780126878301
2100000.0	2200000.0	0.739918435472
2350000.0	2450000.0	0.898274155757
2650000.0	2750000.0	0.832800583491
2750000.0	2850000.0	0.749392128373
2800000.0	2900000.0	0.881858123235
2950000.0	3050000.0	0.755581398591
3100000.0	3200000.0	0.89181670019
3300000.0	3400000.0	0.87929114524
3400000.0	3500000.0	0.843922487585
3650000.0	3750000.0	0.791443419996
3950000.0	4050000.0	0.895229002966
4000000.0	4100000.0	0.836482409555
4100000.0	4200000.0	0.552797678702
4150000.0	4250000.0	0.82959375486
4300000.0	4400000.0	0.777385430733
4600000.0	4700000.0	0.899924123963
5000000.0	5100000.0	0.897204735343
5050000.0	5150000.0	0.86301565239
5200000.0	5300000.0	0.868078296356
5350000.0	5450000.0	0.786461713175
5700000.0	5800000.0	0.85210978419
5850000.0	5950000.0	0.840521968441
5950000.0	6050000.0	0.860732198586
6050000.0	6150000.0	0.843587222459
6100000.0	6200000.0	0.886471163979
6150000.0	6250000.0	0.826905803097
6200000.0	6300000.0	0.886333214077
6250000.0	6350000.0	0.813235808827
6300000.0	6400000.0	0.89847165242
6900000.0	7000000.0	0.846070886761
7050000.0	7150000.0	0.893365648739
7200000.0	7300000.0	0.804751465147
7350000.0	7450000.0	0.867223607786
7500000.0	7600000.0	0.816539230623
7600000.0	7700000.0	0.863604718788
7650000.0	7750000.0	0.891238625512
7750000.0	7850000.0	0.854125181645
7800000.0	7900000.0	0.787127384949
7950000.0	8050000.0	0.64744198994
8050000.0	8150000.0	0.884059395312
8150000.0	8250000.0	0.838488625081
8600000.0	8700000.0	0.880496430974
8850000.0	8950000.0	0.853455876571
8900000.0	9000000.0	0.877027950768
8950000.0	9050000.0	0.844161755773
9050000.0	9150000.0	0.899441130306
9100000.0	9200000.0	0.797377475266
9150000.0	9250000.0	0.673793663978
9250000.0	9350000.0	0.736696782316
9300000.0	9400000.0	0.849552404416
9350000.0	9450000.0	0.758508603099
9400000.0	9500000.0	0.840598515329
9450000.0	9550000.0	0.771266348149
9500000.0	9600000.0	0.778773929205
9550000.0	9650000.0	0.740233075569
9600000.0	9700000.0	0.808040624252
9750000.0	9850000.0	0.810269296924
9850000.0	9950000.0	0.834949290233
9900000.0	10000000.0	0.629300021693
10000000.0	10100000.0	0.77250752742
10250000.0	10350000.0	0.896540144336
10400000.0	10500000.0	0.749985020676
10600000.0	10700000.0	0.692251901709
10700000.0	10800000.0	0.845803186602
10800000.0	10900000.0	0.723327041642
11000000.0	11100000.0	0.893909828233
11200000.0	11300000.0	0.808768715142
11350000.0	11450000.0	0.837355903199
11450000.0	11550000.0	0.867601365934
11500000.0	11600000.0	0.882551266909
11550000.0	11650000.0	0.736377420511
11650000.0	11750000.0	0.794392654959
11700000.0	11800000.0	0.782607225674
11900000.0	12000000.0	0.891340431254
11950000.0	12050000.0	0.683698919272
12150000.0	12250000.0	0.815054717197
12300000.0	12400000.0	0.896628775297
12600000.0	12700000.0	0.85851416662
12650000.0	12750000.0	0.718854618456
12700000.0	12800000.0	0.742083682332
12850000.0	12950000.0	0.858785263946
12900000.0	13000000.0	0.89377852419
13250000.0	13350000.0	0.899183349903
13550000.0	13650000.0	0.844237799651
13600000.0	13700000.0	0.733408251565
13750000.0	13850000.0	0.563699459949
13800000.0	13900000.0	0.629485815325
13900000.0	14000000.0	0.886334656778
13950000.0	14050000.0	0.807312928926
14050000.0	14150000.0	0.761989655774
14200000.0	14300000.0	0.82277872714
14250000.0	14350000.0	0.818754427993
14300000.0	14400000.0	0.697057786502
14400000.0	14500000.0	0.830255951823
14550000.0	14650000.0	0.89608028206
14650000.0	14750000.0	0.833674618737
14850000.0	14950000.0	0.888539875382
15500000.0	15600000.0	0.893171169537
15550000.0	15650000.0	0.831058526161
15600000.0	15700000.0	0.888787158763
15850000.0	15950000.0	0.783525372665
15900000.0	16000000.0	0.866692221867
16000000.0	16100000.0	0.899572837461
